ROL,frequency_rol,ROL_us,frequency_us
historically,1,unifying,1
legislature,1,fragment,1
dictator,1,hopefull,1
tyranacy,1,incompetent,1
discernment,1,debilitate,1
xmas,1,impressive,1
instruction,1,fascist,1
ambiguous,1,other,1
lawless,1,vote,1
inclusivity,1,satanic,1
united,1,stability,1
prosecuter,1,conspiracy,1
consider,1,subject,1
individual,1,incoherent,1
refundant,1,quuestionable,1
writteon,1,offensive,1
election,1,exaggerate,1
admiration,1,impossible,1
serve,1,criminality,1
rquality,1,unimportant,1
bull,1,stretch,1
white,1,leftist,1
supervision,1,mindfulness,1
jesus,1,leadership,1
boundary,1,border,1
solid,1,obenience,1
tyrant,1,miss,1
letter,1,love,1
confuse,1,character,1
crap,1,straightforward,1
unbalanced,1,laxed,1
basic,1,unserious,1
propaganda,1,embrace,1
governor,1,lead,1
handcuff,1,plod,1
blue,1,job,1
descipline,1,exempt,1
imperfect,1,exist,1
FALSE,1,imperil,1
statute,1,decline,1
history,1,overblown,1
coward,1,mistrust,1
belief,1,barbaric,1
responsible,1,unjustly,1
typical,1,sale,1
pre,1,concrete,1
representation,1,vibrant,1
accountably,1,understaffe,1
amendment,1,risky,1
intention,1,peril,1
TRUE,1,unpredictable,1
monetary,1,oppression,1
discrepancy,1,shady,1
absent,1,spectacle,1
subjective,1,endure,1
faitt,1,minority,1
wetback,1,fall,1
help,1,hate,1
unique,1,abrogate,1
preferable,1,exhaustion,1
deception,1,lawllessness,1
fraud,1,insufficient,1
gaslighte,1,cronyism,1
form,1,hope,1
civic,1,weird,1
commit,1,situational,1
determine,1,die,1
permanent,1,random,1
yes,1,exemption,1
behavior,1,command,1
presidential,1,enforcement,1
intent,1,level,1
innocent,1,decision,1
future,1,fade,1
mueller,1,open,1
hierarchy,1,embarassment,1
anyone,1,manufacture,1
play,1,distort,1
positive,1,supremacist,1
fickle,1,hard,1
resolution,1,listen,1
leftist,1,inequitable,1
partial,1,rig,1
entity,1,legitimate,1
uneven,1,reinforce,1
inparcial,1,bs,1
forget,1,payer,1
unstandard,1,disparity,1
unfairness,1,time,1
relative,1,honest,1
community,1,repeal,1
totalitarian,1,competence,1
prosecution,1,nothing,1
nothing,1,looney,1
else,1,racism,1
agree,1,affordable,1
miraculous,1,feeble,1
technical,1,lax,1
sccandal,1,misinformation,1
hypocrit,1,legislature,1
aggression,1,administrative,1
suppression,1,buyable,1
limit,1,flaw,1
break,1,bully,1
term,1,oxymoronic,1
incarceration,1,ostensible,1
service,1,improperly,1
dependable,1,youth,1
gun,1,interest,1
strength,1,outside,1
phrase,1,folowe,1
catch,1,tentative,1
accurate,1,large,1
dishonesty,1,dosregard,1
expression,1,weake,1
litigation,1,christians,1
dream,1,erosion,1
policy,1,fascism,1
nation,1,cover,1
logic,1,brutally,1
understandable,1,sickly,1
lawfulness,1,organization,1
guarantee,1,station,1
amazon,1,detention,1
beautiful,1,disenfranchise,1
orderliness,1,ok,1
us,1,dangerous,1
organise,1,confuae,1
disobedience,1,oblivious,1
harsh,1,rewite,1
anarchy,1,shamefull,1
prejudice,1,embarrase,1
opinion,1,many,1
subjectiven,1,double,1
unclear,1,jesus,1
flexible,1,hang,1
unserious,1,corpacratic,1
cherish,1,intentione,1
inportabt,1,corruptible,1
coercion,1,usually,1
condition,1,FALSE,1
army,1,hazey,1
consistent,1,revenge,1
tort,1,caotic,1
dominance,1,interesting,1
concensus,1,digitalization,1
agreement,1,resolution,1
might,1,panic,1
nuance,1,capital,1
technicality,1,capricious,1
justuce,1,acab,1
excellent,1,undetermined,1
lawlessness,1,lifestyle,1
seldom,1,privelige,1
poorly,1,irrelevant,1
gudiciary,1,review,1
infringement,1,partiality,1
violate,1,degeneration,1
goal,1,ease,1
redundant,1,duality,1
mercy,1,achievable,1
implement,1,even,1
influential,1,crap,1
nondiscrimination,1,obsolete,1
respond,1,discord,1
miranda,1,stress,1
evidence,1,alter,1
distrust,1,illusory,1
madeup,1,inconsequencial,1
waver,1,lawlessness,1
different,1,autocratic,1
inequality,1,unconstitutional,1
conspiracy,1,despicable,1
great,1,slant,1
erode,1,local,1
plutocracy,1,scorch,1
lead,1,manipulative,1
republicans,1,deform,1
fascism,1,chaottic,1
leadership,1,combative,1
duty,1,unaccountable,1
injustice,1,ahead,1
compliant,1,identity,1
final,1,concept,1
unknown,1,deteriorate,1
strict,1,rapidly,1
zero,1,devalue,1
firearm,1,expose,1
defame,1,siege,1
circumvent,1,uniform,1
regulatory,1,blast,1
god,1,damage,1
iaw,1,corporate,1
uncompromise,1,upheavel,1
believe,1,value,1
pompous,1,unfollow,1
resspect,1,lackadaisical,1
trail,1,unise,1
conduct,1,integrity,1
take,1,comment,1
immagration,1,survive,1
submit,1,gridlock,1
proof,1,bureaucratic,1
reviewable,1,malpractice,1
disrespect,1,operate,1
autocracy,1,muddy,1
conscious,1,liar,1
morally,1,haphazard,1
universality,1,void,1
righteous,1,neglect,1
inflexible,1,inexistent,1
conservative,1,worthless,1
rigid,1,dumb,1
consitution,1,flexible,1
affect,1,purchasable,1
eqaulity,1,fickle,1
dedicated,1,unorthodox,1
authenic,1,queasy,1
foundation,1,fundamental,1
hopeful,1,advance,1
hold,1,process,1
not,1,basic,1
win,1,without,1
privacy,1,toast,1
nessasary,1,indifference,1
confident,1,contaminate,1
manipulable,1,confrontational,1
tatter,1,nobody,1
racism,1,immigration,1
military,1,debate,1
exploitation,1,falsenarrative,1
subversion,1,hopeful,1
repercussion,1,inconsistant,1
care,1,ecoonomic,1
demicrat,1,secure,1
tough,1,descipline,1
authoritarianism,1,abandon,1
bad,1,party,1
restriction,1,unfairness,1
delegation,1,unwilling,1
desire,1,devide,1
choice,1,america,1
trut,1,patriotic,1
effect,1,minimum,1
act,1,mirage,1
rich,1,sexual,1
suggestion,1,respectable,1
command,1,beseige,1
sad,1,slip,1
patriarchy,1,elitist,1
lax,1,autocrat,1
outdate,1,degenerate,1
safty,1,undemocratic,1
tradition,1,intolerant,1
collective,1,soros,1
ligil,1,independence,1
statue,1,dem,1
excellant,1,elite,1
nice,1,morning,1
helpfull,1,mishandle,1
concious,1,puppet,1
decipline,1,unfollowed,1
rape,1,disgusting,1
traitor,1,unreliable,1
clear,1,felony,1
precedence,1,suspicious,1
discriminatory,1,okay,1
business,1,average,1
guild,1,strain,1
decree,1,unhelpful,1
irs,1,inflation,1
fbi,1,moronic,1
state,1,differ,1
wing,1,cntroversial,1
comfort,1,backward,1
rihgts,1,way,1
interpet,1,wither,1
critical,1,look,1
consistenet,1,unscrupulous,1
predictability,1,propaganda,1
limitation,1,zionist,1
jurisprudence,1,disrepect,1
consequential,1,tyranny,1
unnegotiable,1,fact,1
work,1,disfunctional,1
check,1,inefficient,1
resoect,1,tyrannical,1
betterment,1,selfish,1
honedty,1,nefarious,1
sentence,1,republic,1
verdict,1,organize,1
trial,1,idealistic,1
fare,1,hopefully,1
prevail,1,blind,1
every,1,frighten,1
qualification,1,gaslighte,1
0,0,hoax,1
0,0,wreck,1
0,0,disappoint,1
0,0,disaster,1
0,0,bill,1
0,0,despair,1
0,0,guide,1
0,0,unethical,1
0,0,number,1
0,0,states,1
0,0,united,1
0,0,dominant,1
0,0,demand,1
0,0,personal,1
0,0,violate,1
0,0,decisive,1
0,0,angry,1
0,0,pressere,1
0,0,shakey,1
0,0,frightening,1
0,0,punitive,1
0,0,religion,1
0,0,pointless,1
0,0,problematic,1
0,0,responsability,1
0,0,washy,1
0,0,wishy,1
0,0,overkill,1
0,0,wake,1
0,0,dishonor,1
0,0,challange,1
0,0,unequality,1
0,0,bargain,1
0,0,dead,1
0,0,illusionary,1
0,0,bogge,1
0,0,beauracratic,1
0,0,doubt,1
0,0,backwards,1
0,0,mandatory,1
0,0,discourage,1
0,0,truth,1
0,0,unbelievable,1
0,0,irreverence,1
0,0,comandeere,1
0,0,trash,1
0,0,beleagure,1
0,0,base,1
0,0,representative,1
0,0,trouble,1
0,0,vulnerable,1
0,0,perilous,1
0,0,current,1
0,0,not,1
0,0,govern,1
0,0,whatever,1
0,0,useless,1
0,0,adjust,1
0,0,restorative,1
0,0,undiscipline,1
0,0,unsafe,1
0,0,diverse,1
0,0,inaccurate,1
0,0,faith,1
0,0,woman,1
0,0,easy,1
0,0,marginal,1
0,0,define,1
0,0,comfortable,1
0,0,mercy,1
0,0,total,1
0,0,bull,1
0,0,race,1
0,0,absolutely,1
0,0,strategic,1
0,0,unfavorable,1
0,0,special,1
0,0,essential,1
0,0,dunno,1
0,0,really,1
0,0,worse,1
0,0,improvable,1
0,0,stagnate,1
0,0,competent,1
0,0,intense,1
0,0,negative,1
0,0,relevance,1
0,0,inequality,1
0,0,fix,1
0,0,crucial,1
0,0,arrange,1
0,0,viable,1
0,0,resource,1
0,0,god,1
0,0,hardship,1
0,0,magistrate,1
0,0,bipartisan,1
0,0,failure,1
0,0,solid,1
0,0,multicomponent,1
0,0,google,1
0,0,cm,1
0,0,new,1
0,0,accessible,1
0,0,favouritism,1
0,0,independently,1
0,0,promulgate,1
0,0,ublicly,1
0,0,ethnic,1
0,0,cost,1
0,0,high,1
0,0,interpret,1
0,0,loyal,1
0,0,confidence,1
0,0,persecution,1
0,0,scatter,1
0,0,social,1
0,0,sexist,1
0,0,illusion,1
0,0,demarcate,1
0,0,overthrow,1
0,0,contingent,1
0,0,cling,1
0,0,restrict,1
0,0,intrusive,1
0,0,resilent,1
0,0,reform,1
0,0,overabundant,1
0,0,sound,1
0,0,valid,1
0,0,biased,1
0,0,speech,1
0,0,jeapordy,1
0,0,poverty,1
0,0,disorient,1
0,0,boss,1
0,0,say,1
0,0,prefer,1
0,0,useful,1
0,0,wasteful,1
0,0,survet,1
0,0,bribe,1
0,0,honor,1
0,0,give,1
0,0,hide,1
0,0,degrade,1
0,0,circus,1
0,0,voiceless,1
0,0,gross,1
0,0,lengthy,1
0,0,upside,1
0,0,unperportional,1
0,0,tilt,1
0,0,inequity,1
0,0,deceitful,1
0,0,wealthy,1
0,0,inept,1
0,0,pathetic,1
0,0,x,1
0,0,send,1
0,0,accountable,1
0,0,regional,1
0,0,sporadic,1
0,0,vaugue,1
0,0,reverse,1
0,0,somewhat,1
0,0,regular,1
0,0,travesty,1
0,0,protection,1
0,0,norm,1
0,0,sanctimonious,1
0,0,structure,1
0,0,punishment,1
0,0,farce,1
0,0,hearing,1
0,0,fare,1
0,0,everything,1
0,0,thing,1
0,0,trumpism,1
0,0,motivate,1
0,0,politically,1
0,0,establish,1
0,0,progressive,1
0,0,develop,1
0,0,televise,1
0,0,consistent,1
0,0,present,1
0,0,excellant,1
0,0,conciousness,1
0,0,decipline,1
0,0,hitler,1
0,0,embarrassed,1
0,0,clear,1
0,0,disrupt,1
0,0,untruste,1
0,0,unhinge,1
0,0,uncareful,1
0,0,inefficiency,1
0,0,homeless,1
0,0,commitment,1
0,0,democrate,1
0,0,tick,1
0,0,prejudicial,1
0,0,wishful,1
0,0,flux,1
0,0,judicial,1
0,0,tranaparency,1
0,0,strait,1
0,0,dire,1
0,0,adhere,1
0,0,mostly,1
0,0,specious,1
0,0,harmony,1
0,0,untraine,1
0,0,win,1
0,0,variable,1
0,0,unbreakable,1
0,0,misunderstood,1
0,0,affraid,1
0,0,comply,1
0,0,worried,1
0,0,flexable,1
0,0,tier,1
0,0,discretionary,1
0,0,unreasonable,1
0,0,creime,1
0,0,objective,1
0,0,mess,1
0,0,kid,1
0,0,safre,1
0,0,network,1
0,0,overlook,1
0,0,mediocre,1
